,Website,Rank,Movie,Rating,Review,Genre
14,imdb,15,Star Wars: Episode V - The Empire Strikes Back,8.7,"after the rebels are brutally overpowered by the empire on the ice planet hoth, luke skywalker begins jedi training with yoda, while his friends are pursued by darth vader and a bounty hunter named boba fett all over the galaxy.","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
15,imdb,16,The Matrix,8.6,"when a beautiful stranger leads computer hacker neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","['Action', 'Sci-Fi']"
16,imdb,17,Goodfellas,8.6,the story of,"['Biography', 'Crime', 'Drama']"
17,imdb,18,One Flew Over the Cuckoo's Nest,8.6,"a criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",['Drama']
18,imdb,19,Seven Samurai,8.6,a poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,"['Action', 'Adventure', 'Drama']"
19,imdb,20,Se7en,8.6,"two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","['Crime', 'Drama', 'Mystery', 'Thriller']"
20,imdb,21,Life Is Beautiful,8.6,"when an open-minded jewish librarian and his son become victims of the holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.","['Comedy', 'Drama', 'Romance', 'War']"
21,imdb,22,City of God,8.6,"in the slums of rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","['Crime', 'Drama']"
22,imdb,23,The Silence of the Lambs,8.6,"a young f.b.i. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","['Crime', 'Drama', 'Thriller']"
23,imdb,24,It's a Wonderful Life,8.6,an angel is sent from heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,"['Drama', 'Family', 'Fantasy']"
24,imdb,25,Star Wars: Episode IV - A New Hope,8.6,"luke skywalker joins forces with a jedi knight, a cocky pilot, a wookiee and two droids to save the galaxy from the empire's world-destroying battle station, while also attempting to rescue princess leia from the mysterious darth vader.","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
25,imdb,26,Saving Private Ryan,8.5,"following the normandy landings, a group of u.s. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","['Drama', 'War']"
26,imdb,27,Spirited Away,8.5,"during her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.","['Animation', 'Adventure', 'Family', 'Fantasy', 'Mystery']"
27,imdb,28,The Green Mile,8.5,"the lives of guards on death row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.","['Crime', 'Drama', 'Fantasy', 'Mystery']"
28,imdb,29,Interstellar,8.5,a team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,"['Adventure', 'Drama', 'Sci-Fi']"
29,imdb,30,Parasite,8.5,greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy park family and the destitute kim clan.,"['Comedy', 'Drama', 'Thriller']"
30,imdb,31,Léon: The Professional,8.5,"mathilda, a 12-year-old girl, is reluctantly taken in by léon, a professional assassin, after her family is murdered. an unusual relationship forms as she becomes his protégée and learns the assassin's trade.","['Action', 'Crime', 'Drama', 'Thriller']"
31,imdb,32,The Usual Suspects,8.5,"a sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.","['Crime', 'Mystery', 'Thriller']"
32,imdb,33,Hara-Kiri,8.5,"when a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.","['Action', 'Drama', 'Mystery']"
33,imdb,34,The Lion King,8.5,"lion prince simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","['Animation', 'Adventure', 'Drama', 'Family', 'Musical']"
34,imdb,35,The Pianist,8.5,a polish jewish musician struggles to survive the destruction of the warsaw ghetto of world war ii.,"['Biography', 'Drama', 'Music', 'War']"
35,imdb,36,Back to the Future,8.5,"marty mcfly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling delorean invented by his close friend, the eccentric scientist doc brown.","['Adventure', 'Comedy', 'Sci-Fi']"
36,imdb,37,Terminator 2: Judgment Day,8.5,"a cyborg, identical to the one who failed to kill sarah connor, must now protect her teenage son, john connor, from a more advanced and powerful cyborg.","['Action', 'Sci-Fi']"
37,imdb,38,American History X,8.5,a former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,['Drama']
38,imdb,39,Modern Times,8.5,the tramp struggles to live in modern industrial society with the help of a young homeless woman.,"['Comedy', 'Drama', 'Family', 'Romance']"
39,imdb,40,Psycho,8.5,"a phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.","['Horror', 'Mystery', 'Thriller']"
40,imdb,41,Gladiator,8.5,a former roman general sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,"['Action', 'Adventure', 'Drama']"
41,imdb,42,City Lights,8.5,"with the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.","['Comedy', 'Drama', 'Romance']"
42,imdb,43,The Departed,8.5,an undercover cop and a mole in the police attempt to identify each other while infiltrating an irish gang in south boston.,"['Crime', 'Drama', 'Thriller']"
43,imdb,44,The Intouchables,8.5,"after he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","['Biography', 'Comedy', 'Drama']"
44,imdb,45,Whiplash,8.5,a promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,"['Drama', 'Music']"
45,imdb,46,The Prestige,8.5,"after a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.","['Drama', 'Mystery', 'Sci-Fi', 'Thriller']"
46,imdb,47,Grave of the Fireflies,8.5,a young boy and his little sister struggle to survive in japan during world war ii.,"['Animation', 'Drama', 'War']"
47,imdb,48,Once Upon a Time in the West,8.4,a mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,['Western']
48,imdb,49,Hamilton,8.4,"the real life of one of america's foremost founding fathers and first secretary of the treasury, alexander hamilton. captured live on broadway from the richard rodgers theater with the original broadway cast.","['Biography', 'Drama', 'History', 'Musical']"
49,imdb,50,Casablanca,8.4,a cynical american expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape french morocco.,"['Drama', 'Romance', 'War']"
50,metacritics,1,Citizen Kane,8.5,"following the death of a publishing tycoon, news reporters scramble to discover the meaning of his final utterance.","['Drama', 'Mystery']"
51,metacritics,2,The Godfather,9.2,"francis ford coppola's epic features marlon brando in his oscar-winning role as the patriarch of the corleone family. director coppola paints a chilling portrait of the sicilian clan's rise and near fall from power in america, masterfully balancing the story between the corleone's family life and the ugly crime business in which they arefrancis ford coppola's epic features marlon brando in his oscar-winning role as the patriarch of the corleone family. director coppola paints a chilling portrait of the sicilian clan's rise and near fall from power in america, masterfully balancing the story between the corleone's family life and the ugly crime business in which they are engaged. based on mario puzo's best-selling novel and featuring career-making performances by al pacino, james caan and robert duvall, this searing and brilliant film garnered ten academy award nominations, and won three including best picture of 1972. [paramount pictures]","['Drama', 'Thriller', 'Crime']"
52,metacritics,3,Rear Window,8.8,a wheelchair-bound photographer spies on his neighbours from his apartment window and becomes convinced one of them has committed murder.,"['Mystery', 'Thriller']"
53,metacritics,4,Casablanca,8.9,"a casablanca, morocco casino owner in 1941 shelters his former lover and her husband, a czechoslovakian freedom fighter, from the nazis.","['Drama', 'Romance', 'War']"
54,metacritics,5,Boyhood,7.6,"filmed over 12 years with the same cast, richard linklater's boyhood is a groundbreaking story of growing up as seen through the eyes of a child named mason (ellar coltrane), who literally grows up on screen before our eyes. starring ethan hawke and patricia arquette as mason's parents and newcomer lorelei linklater as his sister samantha,filmed over 12 years with the same cast, richard linklater's boyhood is a groundbreaking story of growing up as seen through the eyes of a child named mason (ellar coltrane), who literally grows up on screen before our eyes. starring ethan hawke and patricia arquette as mason's parents and newcomer lorelei linklater as his sister samantha, boyhood charts the rocky terrain of childhood like no other film has before and is both a nostalgic time capsule of the recent past and an ode to growing up and parenting. [ifc films]",['Drama']
55,metacritics,6,Three Colors: Red,8.6,"krzysztof kieslowski closes his three colors trilogy in grand fashion, with an incandescent meditation on fate and chance, starring irène jacob as a sweet-souled yet somber runway model in geneva whose life dramatically intersects with that of a bitter retired judge, played by jean-louis trintignant. meanwhile, just down the street, akrzysztof kieslowski closes his three colors trilogy in grand fashion, with an incandescent meditation on fate and chance, starring irène jacob as a sweet-souled yet somber runway model in geneva whose life dramatically intersects with that of a bitter retired judge, played by jean-louis trintignant. meanwhile, just down the street, a seemingly unrelated story of jealousy and betrayal unfolds. red is an intimate look at forged connections and a splendid final statement from a remarkable filmmaker at the height of his powers. [criterion]","['Drama', 'Mystery', 'Romance']"
56,metacritics,7,Vertigo,8.8,"contrary to legend, the first newspaper reviews of vertigo were very
good. it was the serious magazine reviews in ""time,"" ""newsweek"" and ""the new yorker"" that dismissed the movie. (chicago tribune)
vertigo's mesmerizing title sequence is by saul bass--who later did
the storyboards for the shower scene in ""psycho."" (chicago tribune)
vertigo received only two 1958 oscar nominations, for art direction
and sound. (chicago tribune)",['AlfredHitchcock']
57,metacritics,8,Notorious,7.9,"in just a few short years, notorious b.i.g. rose from the streets of brooklyn to become one of the most influential hip hop artists of all time. b.i.g. was a gifted storyteller; his narratives about violent life on the streets were told with a gritty, objective realism that won him enormous respect and credibility. his stories werein just a few short years, notorious b.i.g. rose from the streets of brooklyn to become one of the most influential hip hop artists of all time. b.i.g. was a gifted storyteller; his narratives about violent life on the streets were told with a gritty, objective realism that won him enormous respect and credibility. his stories were universal and gave a voice to his generation. (fox searchlight)","['Biography', 'Drama', 'Music']"
58,metacritics,9,Singin' in the Rain,8.8,a silent film production company and cast make a difficult transition to sound.,"['Comedy', 'Romance', 'Musical']"
59,metacritics,10,City Lights,9.0,the tramp (charlie chaplin) struggles to help a blind flower girl he has fallen in love with.,"['Drama', 'Comedy', 'Romance']"
60,metacritics,11,Moonlight,7.1,paula van der oest,['91min']
61,metacritics,12,Intolerance,9.0,"the story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.","['Drama', 'History']"
62,metacritics,13,Pinocchio,8.2,roberto benigni brings one of the world's most famous and beloved tales magically to the screen. (miramax),"['Fantasy', 'Comedy', 'Family']"
63,metacritics,14,Touch of Evil,8.4,"this film noir portrait of corruption and morally-compromised obsessions stars welles as hank quinlan, a crooked police chief who frames a mexican youth as part of an intricate criminal plot. charlton heston plays an honorable mexican narcotics investigator who clashes with the bigoted quinlan after probing into his dark past. a memorablethis film noir portrait of corruption and morally-compromised obsessions stars welles as hank quinlan, a crooked police chief who frames a mexican youth as part of an intricate criminal plot. charlton heston plays an honorable mexican narcotics investigator who clashes with the bigoted quinlan after probing into his dark past. a memorable supporting cast including janet leigh as heston's inquisitive wife, akim tamiroff as a seedy underworld leader, zsa zsa gabor and marlene dietrich as an enigmatic gypsy complete this fascinating drama engulfed in haunting cinematography and a magnificently eerie score by henry mancini.","['Drama', 'Thriller', 'Crime', 'Film-Noir']"
64,metacritics,15,The Treasure of the Sierra Madre,8.5,"fred dobbs and bob curtin, two americans searching for work in mexico, convince an old prospector to help them mine for gold in the sierra madre mountains.","['Adventure', 'Drama', 'Western']"
65,metacritics,16,Pan's Labyrinth,8.7,"following a bloody civil war, young ofelia enters a world of unimaginable cruelty when she moves in with her new stepfather, a tyrannical military officer. armed with only her imagination, ofelia discovers a mysterious labyrinth and meets a faun who sets her on a path to saving herself and her ailing mother. but soon, the lines betweenfollowing a bloody civil war, young ofelia enters a world of unimaginable cruelty when she moves in with her new stepfather, a tyrannical military officer. armed with only her imagination, ofelia discovers a mysterious labyrinth and meets a faun who sets her on a path to saving herself and her ailing mother. but soon, the lines between fantasy and reality begin to blur, and before ofelia can turn back, she finds herself at the center of a ferocious battle between good and evil. [warner bros.]","['Drama', 'Mystery', 'Thriller', 'Fantasy', 'War']"
66,metacritics,17,Some Like It Hot,8.3,"when two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.","['Comedy', 'Romance']"
67,metacritics,18,North by Northwest,8.2,"a hapless new york advertising executive is mistaken for a government agent by a group of foreign spies, and is pursued across the country while he looks for a way to survive.","['Action', 'Adventure', 'Mystery', 'Thriller']"
68,metacritics,19,Nomadland,tbd,"following the economic collapse of a company town in rural nevada, fern (frances mcdormand) packs her van and sets off on the road exploring a life outside of conventional society as a modern-day nomad.",['Drama']
69,metacritics,20,Hoop Dreams,8.1,two inner-city chicago boys with hopes of becoming professional basketball players struggle to become college players.,"['Drama', 'Sport', 'Documentary']"
70,metacritics,21,Rashomon,8.6,"the rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.","['Drama', 'Mystery', 'Crime']"
71,metacritics,22,All About Eve,8.8,an ingenue insinuates herself into the company of an established but aging stage actress and her circle of theater friends.,['Drama']
72,metacritics,23,Jules and Jim,8.3,decades of a love triangle concerning two friends and an impulsive woman.,"['Drama', 'Romance']"
73,metacritics,24,The Wild Bunch,8.0,"an aging group of outlaws look for one last big score as the ""traditional"" american west is disappearing around them.","['Action', 'Adventure', 'Western']"
74,metacritics,25,My Left Foot,8.5,"true story of cerebral palsied christy brown, who overcame his illness and poverty to become an accomplished artist, poet and writer.","['Biography', 'Drama']"
75,metacritics,26,The Third Man,8.4,"pulp novelist holly martins travels to shadowy, postwar vienna, only to find himself investigating the mysterious death of an old friend, harry lime.","['Mystery', 'Thriller', 'Film-Noir']"
76,metacritics,27,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3,"through a series of military and political accidents, a psychotic general - u.s. air force commander jack d. ripper (hayden) - triggers an ingenious, irrevocable scheme to attack russia's strategic targets with nuclear bombs. the u.s. president (sellers) and dr. strangelove (sellers), a wheelchair-bound nuclear scientist who has bizarrethrough a series of military and political accidents, a psychotic general - u.s. air force commander jack d. ripper (hayden) - triggers an ingenious, irrevocable scheme to attack russia's strategic targets with nuclear bombs. the u.s. president (sellers) and dr. strangelove (sellers), a wheelchair-bound nuclear scientist who has bizarre ideas about man's future, work with the soviet premier in a desperate effort to save the world.","['Drama', 'Thriller']"
77,metacritics,28,Gone with the Wind,8.5,"a southern belle struggles with the devastation of the civil war and reconstruction. this classic won 8 academy awards, including best picture.","['Drama', 'History', 'Romance', 'War']"
78,metacritics,29,"4 Months, 3 Weeks and 2 Days",8.0,"during the final days of communism in romania, two college roommates otilia and gabita are busy preparing for a night away. but rather than planning for a holiday, they are making arrangements for gabita's illegal abortion and unwittingly, both find themselves burrowing deep down a rabbit hole of unexpected revelations. [ifc films]",['Drama']
79,metacritics,30,Psycho,9.1,"intrigued by the notion of taking an intact, undeniable classic and seeing what would happen if it were made again - with a nearly identical shooting script - but with contemporary filmmaking techniques, gus van sant recreates the motion picture psycho.  (universal studios)","['Mystery', 'Thriller', 'Horror']"
80,metacritics,31,Battleship Potemkin,9.6,"in the midst of the russian revolution of 1905, the crew of the battleship potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. the resulting street demonstration in odessa brings on a police massacre.","['Drama', 'History', 'Thriller', 'War']"
81,metacritics,32,A Streetcar Named Desire,8.4,disturbed blanche dubois (vivien leigh) moves in with her sister in new orleans and is tormented by her brutish brother-in-law (marlon brando) while her reality crumbles around her.,['Drama']
82,metacritics,33,American Graffiti,7.7,a couple of high school grads spend one final night cruising the strip with their buddies before they go off to college.,"['Drama', 'Comedy']"
83,metacritics,34,Dumbo,8.0,"circus owner max medici (danny devito) enlists former star holt farrier (colin farrell) and his children milly (nico parker) and joe (finley hobbins) to care for a newborn elephant whose oversized ears make him a laughingstock in an already struggling circus. but when they discover that dumbo can fly, the circus makes an incrediblecircus owner max medici (danny devito) enlists former star holt farrier (colin farrell) and his children milly (nico parker) and joe (finley hobbins) to care for a newborn elephant whose oversized ears make him a laughingstock in an already struggling circus. but when they discover that dumbo can fly, the circus makes an incredible comeback, attracting persuasive entrepreneur v.a. vandevere (michael keaton), who recruits the peculiar pachyderm for his newest, larger-than-life entertainment venture, dreamland. dumbo soars to new heights alongside a charming and spectacular aerial artist, colette marchant (eva green), until holt learns that beneath its shiny veneer, dreamland is full of dark secrets. [walt disney pictures]","['Adventure', 'Fantasy', 'Animation', 'Family']"
84,metacritics,35,Roma,7.8,"nominated for 10 academy awards including best picture. named best picture of 2018 by the new york film critics circle, chicago film critics association, london critics circle, online film critics society, and the washington, d.c. area film critics association. winner of the golden lion at the 2018 venice film festival. more awards and nominations",['AlfonsoCuarón']
85,metacritics,36,Ran,8.5,"an adaptation of william shakespeare’s king lear, ran considers the disastrous consequences of lord hidetora ichimonji’s (tatsuya nakadai) decision to split his kingdom among his three sons.","['Action', 'Drama', 'War']"
86,metacritics,37,The Shop Around the Corner,8.6,"two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.","['Drama', 'Comedy', 'Romance']"
87,metacritics,38,12 Angry Men,9.3,"12 angry men, by sidney lumet, is a behind-closed-doors look at the american legal system. this iconic adaptation of reginald rose’s teleplay stars henry fonda as the dissenting member on a jury of white men ready to pass judgment on a puerto rican teenager charged with murdering his father. the result is a saga of epic proportions that12 angry men, by sidney lumet, is a behind-closed-doors look at the american legal system. this iconic adaptation of reginald rose’s teleplay stars henry fonda as the dissenting member on a jury of white men ready to pass judgment on a puerto rican teenager charged with murdering his father. the result is a saga of epic proportions that plays out over a tense afternoon in one sweltering room.","['Drama', 'Crime']"
88,metacritics,39,Manchester by the Sea,8.2,"after the death of his older brother joe (kyle chandler), lee chandler (casey affleck) is shocked to learn that joe has made him sole guardian of his nephew patrick (lucas hedges). taking leave of his job, lee reluctantly returns to manchester-by-the-sea to care for patrick, a spirited 15-year-old, and is forced to deal with a past thatafter the death of his older brother joe (kyle chandler), lee chandler (casey affleck) is shocked to learn that joe has made him sole guardian of his nephew patrick (lucas hedges). taking leave of his job, lee reluctantly returns to manchester-by-the-sea to care for patrick, a spirited 15-year-old, and is forced to deal with a past that separated him from his wife randi (michelle williams) and the community where he was born and raised.   bonded by the man who held their family together, lee and patrick struggle to adjust to a world without him.",['Drama']
89,metacritics,40,Rosemary's Baby,8.2,"a young couple move into an apartment, only to be surrounded by peculiar neighbors and occurrences. when the wife becomes mysteriously pregnant, paranoia over the safety of her unborn child begins to control her life.","['Drama', 'Horror']"
90,metacritics,41,The Maltese Falcon,7.9,"a private detective (humphrey bogart) takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.","['Mystery', 'Film-Noir']"
91,metacritics,42,12 Years a Slave,8.0,"in the pre-civil war united states, solomon northup, a free black man living in upstate new york, is abducted and sold into slavery.","['Biography', 'Drama', 'History']"
92,metacritics,43,Killer of Sheep,6.9,"killer of sheep examines the black los angeles ghetto of watts in the mid-1970s through the eyes of stan, a sensitive dreamer who is growing detached and numb from the psychic toll of working at a slaughterhouse. the film offers no solutions; it merely presents life -- sometimes hauntingly bleak, sometimes filled with transcendent joy andkiller of sheep examines the black los angeles ghetto of watts in the mid-1970s through the eyes of stan, a sensitive dreamer who is growing detached and numb from the psychic toll of working at a slaughterhouse. the film offers no solutions; it merely presents life -- sometimes hauntingly bleak, sometimes filled with transcendent joy and gentle humor.  [milestone film & video]",['Drama']
93,metacritics,44,Rocks,tbd,a teenage girl suddenly finds herself struggling to take care of herself and her younger brother.,['Drama']
94,metacritics,45,Nashville,8.8,"over the course of a few hectic days, numerous interrelated people prepare for a political convention as secrets and lies are surfaced and revealed.","['Drama', 'Comedy', 'Music']"
95,metacritics,46,Ratatouille,8.6,"despite his sensational sniffer and sophisticated palate, remy's dreams of becoming a chef seem hopeless due to one small detail--he's a rat! through a twist of fate, he ends up in the world-famous restaurant of his late hero, auguste gusteau. with a dash of culinary courage and the help of garbage boy linguini, remy whips up exquisitedespite his sensational sniffer and sophisticated palate, remy's dreams of becoming a chef seem hopeless due to one small detail--he's a rat! through a twist of fate, he ends up in the world-famous restaurant of his late hero, auguste gusteau. with a dash of culinary courage and the help of garbage boy linguini, remy whips up exquisite meals that impress even the nasty chef skinner and food critic anton ego. together they conquer the kitchen and prove that big dreams can come true no matter how small you are. [disney]","['Fantasy', 'Comedy', 'Animation', 'Family']"
96,metacritics,47,Parasite,8.9,"named best picture at the 92nd annual academy awards, where it led all films with four total wins.
named best picture of 2019 by numerous groups including the los angeles film critics association. see all awards and nominations...
winner of the palme d'or at the 2019 cannes film festival.",['Joon-hoBong']
97,metacritics,48,Don't Look Now,8.6,"a married couple grieving the recent death of their young daughter are in venice when they encounter two elderly sisters, one of whom is psychic and brings a warning from beyond.","['Drama', 'Thriller', 'Horror']"
98,metacritics,49,The Grapes of Wrath,8.9,"a poor midwest family is forced off their land. they travel to california, suffering the misfortunes of the homeless in the great depression.","['Drama', 'History']"
99,metacritics,50,Children of Paradise (1945),9.0,"children of paradise is the tale of a woman loved by four different men. deftly entwining theater, literature, music, and design, director marcel carné and screenwriter jacques prévert resurrect the tumultuous world of nineteenth-century paris, teeming with hucksters and aristocrats, thieves and courtesans, pimps and seers. (janus films)","['Drama', 'Romance']"
100,rotten tomatoes,1, Lady Bird,9.9,"With appealing leads, deft direction, and an affecting love story, A Star Is Born is a remake done right -- and a reminder that some stories can be just as effective in the retelling.","[drama,music,romance]"
101,rotten tomatoes,2, Citizen Kane,10.0,"Dunkirk serves up emotionally satisfying spectacle, delivered by a writer-director in full command of his craft and brought to life by a gifted ensemble cast that honors the fact-based story.","[drama,war,history]"
102,rotten tomatoes,3, Mission: Impossible - Fallout,9.7,"Inventive, gorgeously animated, and powerfully moving, Inside Out is another outstanding addition to the Pixar library of modern animated classics.","[fantasy,animation,kidsandfamily,comedy]"
103,rotten tomatoes,4, The Wizard of Oz,9.8,"The Farewell deftly captures complicated family dynamics with a poignant, well-acted drama that marries cultural specificity with universally relatable themes.","[drama,comedy]"
104,rotten tomatoes,5, BlacKkKlansman,9.6,"A slapstick skewering of industrialized America, Modern Times is as politically incisive as it is laugh-out-loud hilarious.",[comedy]
105,rotten tomatoes,6, Get Out,9.8,A Quiet Place artfully plays on elemental fears with a ruthlessly intelligent creature feature that's as original as it is scary -- and establishes director John Krasinski as a rising talent.,"[horror,mysteryandthriller]"
106,rotten tomatoes,7, The Irishman,9.5,"Capturing its stars and director at their finest, It Happened One Night remains unsurpassed by the countless romantic comedies it has inspired.",[romance]
107,rotten tomatoes,8, Casablanca,9.9,Eighth Grade takes a look at its titular time period that offers a rare and resounding ring of truth while heralding breakthroughs for writer-director Bo Burnham and captivating star Elsie Fisher.,"[drama,comedy]"
108,rotten tomatoes,9, Mad Max: Fury Road,9.7,"Fast-paced, funny, and fresh, Booksmart does the seemingly impossible by adding a smart new spin to the coming-of-age comedy.",[comedy]
109,rotten tomatoes,10, Spider-Man: Into the Spider-Verse,9.7,"Watermelons may go out of season, but in A Night at the Opera, the Marx Brothers' daffy laughs are never anything less than uproariously fresh.",[comedy]
110,rotten tomatoes,11, Moonlight,9.8,"Roma finds writer-director Alfonso Cuarón in complete, enthralling command of his visual craft - and telling the most powerfully personal story of his career.",[drama]
111,rotten tomatoes,12, Wonder Woman,9.3,"This atmospheric thriller is one of the undisputed masterpieces of cinema, and boasts iconic performances from Joseph Cotten and Orson Welles.",[mysteryandthriller]
112,rotten tomatoes,13, A Star Is Born,9.0,"Coco's rich visual pleasures are matched by a thoughtful narrative that takes a family-friendly -- and deeply affecting -- approach to questions of culture, family, life, and death.","[music,kidsandfamily,animation,adventure,comedy]"
113,rotten tomatoes,14, Dunkirk,9.3,"Exciting, funny, and above all fun, Thor: Ragnarok is a colorful cosmic adventure that sets a new standard for its franchise -- and the rest of the Marvel Cinematic Universe.","[fantasy,comedy,scifi,adventure,action]"
114,rotten tomatoes,15, Inside Out,9.8,The Shape of Water finds Guillermo del Toro at his visually distinctive best -- and matched by an emotionally absorbing story brought to life by a stellar Sally Hawkins performance.,"[fantasy,romance]"
115,rotten tomatoes,16, The Farewell,9.8,"Fueled by a gripping performance from David Oyelowo, Selma draws inspiration and dramatic power from the life and death of Martin Luther King, Jr. -- but doesn't ignore how far we remain from the ideals his work embodied.","[drama,history]"
116,rotten tomatoes,17, Modern Times,10.0,"Spotlight gracefully handles the lurid details of its fact-based story while resisting the temptation to lionize its heroes, resulting in a drama that honors the audience as well as its real-life subjects.",[drama]
117,rotten tomatoes,18, A Quiet Place,9.6,"One of Hollywood's greatest critical and commercial successes, The Godfather gets everything right; not only did the movie transcend expectations, it established new benchmarks for American cinema.","[drama,crime]"
118,rotten tomatoes,19, It Happened One Night,9.8,"Jean Renoir's Grand Illusion is a masterful anti-war statement, bringing humane insight and an undercurrent of ironic humor to an unusual relationship between captor and captive.","[drama,war]"
119,rotten tomatoes,20, Eighth Grade,9.9,"With its involving story and characters, vibrant art, and memorable songs, Snow White and the Seven Dwarfs set the animation standard for decades to come.","[fantasy,animation,kidsandfamily]"
